category,region,pinned_order,notes
prozrachnye-rolstavni,moskva-i-mo,"stekloroll.ru, artalico.ru",Both pinned
bezramnoe-osteklenie,moskva-i-mo,"stekloroll.ru, artalico.ru",Both pinned
myagkie-okna,moskva-i-mo,"stekloroll.ru, artalico.ru",Both pinned (advertisement)
zashitnye-rolstavni,moskva-i-mo,stekloroll.ru,StekloRoll only
rolletnye-shkafy,moskva-i-mo,stekloroll.ru,StekloRoll only
vorota,moskva-i-mo,stekloroll.ru,StekloRoll only
