category,region,total_suppliers,with_phone_count,with_phone_pct,with_address_count,with_address_pct,with_name_count,with_name_pct,bad_parse_count,pinned_stekloroll,pinned_artalico,duplicates,notes
bezramnoe-osteklenie,moskva-i-mo,11,2,18%,1,9%,11,100%,,YES,YES,,
myagkie-okna,moskva-i-mo,13,11,85%,1,8%,12,92%,1,YES,YES,,BAD_PARSE:1
prozrachnye-rolstavni,moskva-i-mo,22,18,82%,2,9%,19,86%,2,YES,YES,1,DUPLICATES:1; BAD_PARSE:2
rolletnye-shkafy,moskva-i-mo,13,11,85%,1,8%,11,85%,2,YES,NO,3,DUPLICATES:3; BAD_PARSE:2
vorota,moskva-i-mo,18,1,6%,1,6%,18,100%,,YES,NO,,
zashitnye-rolstavni,moskva-i-mo,33,28,85%,3,9%,28,85%,5,YES,NO,8,DUPLICATES:8; BAD_PARSE:5
